lang,week,fear_mean,anger_mean,sadness_mean,disgust_mean,joy_mean,trust_mean,anticipation_mean,surprise_mean,danger_mean,weapon_mean,family_mean,flying_mean,animal_mean,health_mean,swimming_mean,place_house_mean,place_nature_mean,indoors_mean,outdoors_mean,romantic_mean,social_mean,friend_mean,stranger_mean,situation_childhood_mean,game_mean,music_mean,food_mean,object_inanimate_mean,object_animate_mean,negativity_mean,nightmare_index_mean,textlen_mean,words_mean,n_dreams,n_userdays
all,2023-11-20,0.2273461538461538,0.1866923076923076,0.1471153846153846,0.1648461538461538,0.0742307692307692,0.2048076923076923,0.1840384615384615,0.5635769230769232,0.6154230769230769,0.1543076923076923,0.2963461538461538,0.0718846153846153,0.2037692307692307,0.1790769230769231,0.0531538461538461,0.3416153846153846,0.215576923076923,0.2870384615384615,0.328076923076923,0.1882692307692307,0.5647692307692307,0.3310769230769231,0.3848076923076923,0.1790384615384615,0.1526153846153846,0.0443846153846153,0.0786923076923076,0.0934230769230769,0.3900384615384615,0.0419807692307692,0.2557307692307692,349.0,65.15384615384616,26.0,24.0
all,2023-11-27,0.3052666666666667,0.2243666666666666,0.2552999999999999,0.1604333333333333,0.0891333333333333,0.2488999999999999,0.2208666666666666,0.5787,0.7014333333333334,0.1619999999999999,0.4331333333333333,0.1012333333333333,0.1641666666666666,0.2097666666666666,0.0328333333333333,0.3435333333333333,0.2203666666666666,0.2401333333333333,0.4771666666666666,0.2532,0.55,0.4058666666666666,0.4017666666666666,0.2644,0.1726666666666666,0.0322333333333333,0.0484333333333333,0.1090333333333333,0.3925,0.067325,0.3315333333333333,497.03333333333336,94.86666666666666,30.0,24.0
all,2023-12-04,0.33975,0.1534375,0.16009375,0.13503125,0.150125,0.20578125,0.2111249999999999,0.5795,0.65071875,0.19071875,0.3415,0.1051875,0.2214374999999999,0.17890625,0.0444375,0.3125624999999999,0.25459375,0.18165625,0.420875,0.24940625,0.49875,0.378875,0.44978125,0.25846875,0.1085,0.03875,0.07271875,0.08971875,0.3669375000000001,0.019125,0.2333958333333333,381.625,73.625,32.0,29.0
all,2023-12-11,0.32125,0.1484499999999999,0.2064,0.1221,0.0792,0.2478999999999999,0.1935,0.5506,0.6784,0.1553999999999999,0.4121999999999999,0.09845,0.1127,0.21445,0.0646499999999999,0.3212,0.2429,0.1885499999999999,0.4302499999999999,0.241,0.49405,0.3789,0.3818499999999999,0.3205,0.0985,0.0261,0.04185,0.0836,0.3911,0.036,0.3228166666666666,408.35,76.8,20.0,16.0
all,2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,12.0
all,2023-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,15.0
all,2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,13.0
all,2024-01-08,0.3589090909090908,0.268,0.2202272727272727,0.1482272727272727,0.1246818181818181,0.3193636363636363,0.2731818181818181,0.569318181818182,0.6860909090909092,0.2880909090909091,0.4246363636363636,0.154590909090909,0.2422272727272727,0.2688181818181818,0.0324090909090909,0.3832727272727272,0.284,0.2843181818181818,0.6065909090909091,0.260409090909091,0.6620909090909091,0.5494545454545454,0.4188181818181817,0.2915454545454545,0.1403181818181818,0.0363181818181818,0.069590909090909,0.1266818181818181,0.4376363636363636,0.0268181818181818,0.2970606060606061,541.3636363636364,103.95454545454544,22.0,18.0
all,2024-01-15,0.2461739130434782,0.1597826086956522,0.2225217391304348,0.1138260869565217,0.104,0.2491304347826086,0.2082608695652174,0.5603478260869565,0.6710434782608696,0.1792608695652174,0.437086956521739,0.1207826086956521,0.3280869565217391,0.1923913043478261,0.0968695652173912,0.3032608695652173,0.2343043478260869,0.2215217391304348,0.5622173913043478,0.2487391304347826,0.6095652173913045,0.3941739130434782,0.3851739130434782,0.2889999999999999,0.1563043478260869,0.0219565217391304,0.0637391304347826,0.1070434782608695,0.4036086956521739,0.0090108695652173,0.2759130434782608,488.9565217391304,94.3913043478261,23.0,20.0
all,2024-01-22,0.1342333333333333,0.1112666666666666,0.0841666666666666,0.0736,0.1035666666666666,0.1253,0.132,0.5175,0.6251333333333334,0.1477,0.2824,0.0576666666666666,0.2526333333333333,0.0917666666666666,0.0375,0.2321,0.1865333333333333,0.1828333333333333,0.3734999999999999,0.1689666666666666,0.4087333333333333,0.2559666666666667,0.3403666666666666,0.1623666666666666,0.1711666666666666,0.0127,0.0732666666666666,0.0575,0.3164333333333333,-0.0136166666666666,0.1776111111111111,382.06666666666666,72.6,30.0,23.0
all,2024-01-29,0.2494,0.2170666666666666,0.1851666666666666,0.1198999999999999,0.1236333333333333,0.2317666666666666,0.2150999999999999,0.5675,0.6798333333333333,0.2596666666666666,0.4072666666666666,0.1214333333333333,0.1800999999999999,0.1935666666666667,0.044,0.3321666666666666,0.2286666666666666,0.2241,0.4534666666666666,0.1934333333333333,0.5588,0.4310333333333334,0.4064333333333333,0.2227666666666666,0.1678,0.0734666666666666,0.1139333333333333,0.1091,0.3854666666666667,0.0151833333333333,0.2478333333333333,489.56666666666666,93.0,30.0,26.0
all,2024-02-05,0.2464242424242424,0.1873030303030303,0.2336060606060605,0.1191515151515151,0.0846666666666666,0.275060606060606,0.2635757575757576,0.5948787878787879,0.5990909090909091,0.155,0.4114848484848484,0.0846666666666666,0.1885151515151515,0.2351515151515151,0.0394848484848484,0.3528484848484848,0.2074848484848484,0.268060606060606,0.3898181818181818,0.2511515151515152,0.6060909090909091,0.4125151515151515,0.3993030303030303,0.2523030303030303,0.1343636363636363,0.052060606060606,0.0832424242424242,0.1124242424242424,0.4072121212121212,0.0167575757575757,0.275040404040404,490.2121212121212,96.87878787878788,33.0,27.0
all,2024-02-12,0.32225,0.1522857142857143,0.1827142857142857,0.1341785714285714,0.1507142857142857,0.2907142857142857,0.2371071428571429,0.6328928571428571,0.6620357142857144,0.1631071428571428,0.5433928571428572,0.0884285714285714,0.1576071428571428,0.2323571428571428,0.0302142857142857,0.3603928571428571,0.241,0.2275714285714285,0.5426428571428572,0.27375,0.6729999999999999,0.4434999999999999,0.4655714285714286,0.3065357142857143,0.1244285714285714,0.02775,0.1461428571428571,0.1163571428571428,0.4045,-0.0228571428571428,0.2382857142857142,465.32142857142856,90.17857142857144,28.0,22.0
all,2024-02-19,0.3219166666666667,0.2097083333333333,0.2599583333333333,0.1381666666666666,0.06975,0.24825,0.221,0.5755833333333333,0.6885,0.20575,0.4296666666666667,0.0856666666666666,0.118625,0.223625,0.0239166666666666,0.3370416666666666,0.177,0.3104583333333333,0.3632916666666667,0.1805416666666666,0.6481666666666667,0.4377083333333333,0.3851666666666667,0.31575,0.1242083333333333,0.1535416666666666,0.101125,0.0994999999999999,0.3696666666666666,0.0734375,0.3537083333333333,509.625,99.625,24.0,21.0
all,2024-02-26,0.3301724137931034,0.240551724137931,0.2417931034482758,0.1354482758620689,0.0870344827586206,0.2656206896551724,0.2568620689655172,0.6029655172413794,0.6737586206896551,0.1944137931034482,0.5077241379310345,0.1218620689655172,0.2177931034482758,0.2019655172413793,0.0314482758620689,0.3203448275862068,0.195,0.2758965517241379,0.4868965517241379,0.2202758620689655,0.6116206896551725,0.4782413793103448,0.3902758620689655,0.2723793103448275,0.1559655172413793,0.0378275862068965,0.0999310344827586,0.1129310344827586,0.3921379310344827,0.0606637931034482,0.3282068965517241,767.0689655172414,153.6551724137931,29.0,24.0
all,2024-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,17.0
all,2024-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,16.0
all,2024-03-18,0.2353125,0.1225,0.182,0.0909375,0.148125,0.2369375,0.2085937499999999,0.60528125,0.6053124999999999,0.13909375,0.32840625,0.13353125,0.1407187499999999,0.1476875,0.02440625,0.2772187499999999,0.2480625,0.1673437499999999,0.5116875000000001,0.33125,0.5806562500000001,0.43990625,0.448125,0.21153125,0.0954062499999999,0.06515625,0.0653125,0.08821875,0.37571875,-0.03484375,0.19275,426.875,81.25,32.0,23.0
all,2024-03-25,0.2231472081218274,0.1147969543147208,0.173736040609137,0.1155279187817258,0.1167715736040609,0.1801725888324873,0.1754060913705583,0.5913756345177665,0.6391065989847715,0.1156802030456852,0.3717208121827411,0.0935126903553299,0.1388984771573604,0.1376903553299492,0.0410456852791878,0.2595482233502538,0.2066548223350253,0.1604568527918781,0.4005177664974618,0.3286649746192893,0.4388781725888325,0.2605228426395939,0.3873299492385786,0.2441015228426396,0.1249492385786801,0.0251167512690355,0.0570558375634517,0.061243654822335,0.3409999999999999,0.0083299492385786,0.2285583756345177,230.6802030456853,44.16243654822335,197.0,155.0
all,2024-04-01,0.3193243243243243,0.1872297297297297,0.2184459459459459,0.1520135135135135,0.1394729729729729,0.2683783783783783,0.2356486486486486,0.620054054054054,0.6469864864864866,0.1627972972972972,0.3957432432432432,0.1058513513513513,0.1647972972972973,0.238527027027027,0.0699189189189189,0.3452702702702703,0.2421216216216216,0.256027027027027,0.4095,0.311054054054054,0.5675405405405406,0.439972972972973,0.4237567567567568,0.2773783783783783,0.1317297297297297,0.0656756756756756,0.1068783783783784,0.1189594594594594,0.4042432432432433,0.0153277027027027,0.2554459459459459,431.55405405405406,84.41891891891892,74.0,61.0
all,2024-04-08,0.3093625,0.152075,0.2355125,0.14125,0.0993,0.2396624999999999,0.207275,0.678425,0.6783374999999999,0.148075,0.3985499999999999,0.103175,0.1578999999999999,0.1864375,0.0472249999999999,0.3081,0.2051,0.1938625,0.378225,0.3285875,0.509375,0.387525,0.4800124999999999,0.24855,0.1093999999999999,0.0377625,0.0632874999999999,0.0920624999999999,0.361525,0.04006875,0.3084375,379.75,75.325,80.0,68.0
all,2024-04-15,0.2646172839506173,0.1769012345679012,0.223679012345679,0.1466543209876543,0.1184074074074074,0.2555185185185185,0.2032839506172839,0.6500123456790123,0.6518395061728394,0.1488888888888889,0.4637407407407406,0.1111111111111111,0.1734691358024691,0.1982592592592592,0.0588271604938271,0.3263086419753087,0.2322222222222222,0.2120123456790123,0.4312345679012345,0.2911604938271604,0.5692592592592592,0.4064938271604938,0.4699506172839506,0.2793827160493827,0.135,0.0511975308641975,0.0821604938271605,0.1031728395061728,0.3862716049382717,0.0159999999999999,0.2616378600823045,357.1975308641975,70.34567901234568,81.0,72.0
all,2024-04-22,0.2849370629370629,0.158048951048951,0.2167202797202797,0.1360979020979021,0.1093846153846153,0.2396013986013986,0.2084475524475524,0.6250279720279721,0.680972027972028,0.1756993006993007,0.4113846153846154,0.0863146853146853,0.1569230769230769,0.1705944055944056,0.0571328671328671,0.3046993006993007,0.220104895104895,0.2003776223776223,0.4249860139860139,0.3030349650349651,0.5284685314685316,0.3728671328671328,0.4341048951048951,0.3048881118881119,0.1347552447552447,0.0512377622377622,0.075993006993007,0.0960979020979021,0.3738181818181817,0.0244580419580419,0.2848251748251748,540.3916083916084,105.85314685314684,143.0,114.0
all,2024-04-29,0.3647904761904761,0.1944285714285714,0.2539333333333333,0.159,0.1109333333333333,0.2817809523809523,0.2342761904761904,0.6668476190476189,0.7094095238095238,0.1993904761904762,0.4102761904761904,0.1141238095238095,0.1899714285714285,0.2410285714285714,0.0510380952380952,0.3431047619047619,0.2529142857142857,0.261447619047619,0.3850952380952381,0.2734857142857143,0.5551333333333334,0.4015619047619047,0.4561428571428572,0.264447619047619,0.1365523809523809,0.0987904761904761,0.0890285714285714,0.1207047619047619,0.3991333333333333,0.0466809523809523,0.3317777777777778,469.04761904761904,93.22857142857144,105.0,92.0
all,2024-05-06,0.365639534883721,0.2350581395348837,0.2709302325581395,0.1921046511627907,0.1568023255813953,0.300046511627907,0.2544651162790697,0.6455232558139535,0.688720930232558,0.2067325581395349,0.4429418604651162,0.1263023255813953,0.2128488372093023,0.2774767441860465,0.060953488372093,0.3837093023255814,0.2754302325581395,0.2562906976744186,0.4570930232558139,0.3046511627906977,0.5900581395348836,0.4295581395348836,0.4126860465116279,0.3131627906976744,0.1600581395348837,0.084906976744186,0.1061162790697674,0.1256162790697674,0.4150348837209303,0.0375087209302325,0.2849612403100776,678.6744186046511,130.91860465116278,86.0,76.0
all,2024-05-13,0.3422937062937062,0.1694545454545454,0.2466153846153846,0.1429230769230769,0.1082517482517482,0.2353496503496503,0.1996153846153846,0.6309160839160839,0.6998671328671329,0.1692377622377622,0.4334685314685314,0.1009230769230769,0.1477622377622378,0.196034965034965,0.0464265734265734,0.3285524475524475,0.2202237762237762,0.2161538461538461,0.3911328671328671,0.2513006993006993,0.5482447552447552,0.3925314685314685,0.4408041958041958,0.2735944055944055,0.1073636363636363,0.0612587412587412,0.0736153846153846,0.0936713286713287,0.372041958041958,0.053520979020979,0.3213403263403263,420.9090909090909,83.06293706293707,143.0,123.0
all,2024-05-20,0.2782592592592592,0.1798074074074074,0.2332666666666666,0.1453555555555555,0.0902296296296296,0.2428888888888888,0.2177555555555555,0.6479259259259259,0.6595555555555555,0.1625851851851851,0.3683407407407407,0.0897925925925925,0.1194814814814814,0.2007259259259259,0.0268074074074074,0.3122296296296296,0.2299037037037037,0.2233555555555555,0.4693703703703703,0.3099555555555555,0.5575185185185185,0.3889851851851851,0.4662148148148148,0.2645555555555556,0.1271333333333333,0.0622666666666666,0.0713925925925926,0.0965851851851851,0.388837037037037,0.0426129629629629,0.3001308641975308,459.4148148148148,89.97777777777777,135.0,108.0
all,2024-05-27,0.3255555555555555,0.1611538461538461,0.2104273504273504,0.1505470085470086,0.1105042735042735,0.2104786324786325,0.191982905982906,0.6347521367521368,0.6680170940170941,0.150076923076923,0.3976666666666667,0.0978290598290598,0.202042735042735,0.1656581196581196,0.0257521367521367,0.3106239316239316,0.2112478632478632,0.2304871794871795,0.3545128205128205,0.2975128205128204,0.5229145299145299,0.3399145299145299,0.4518717948717949,0.2732905982905983,0.1002649572649572,0.0398034188034188,0.0578461538461538,0.0902735042735042,0.3793675213675214,0.0514294871794871,0.2908290598290598,365.2735042735043,71.78632478632478,117.0,88.0
all,2024-06-03,0.3331860465116279,0.1562558139534883,0.1985736434108527,0.1508527131782945,0.084906976744186,0.1927441860465116,0.172015503875969,0.6089534883720931,0.6855813953488373,0.1592170542635659,0.3607209302325581,0.0724496124031007,0.1525271317829457,0.1669999999999999,0.0251705426356589,0.2990077519379845,0.1833100775193798,0.205813953488372,0.326968992248062,0.255906976744186,0.4704883720930232,0.3228372093023255,0.4342790697674418,0.2417519379844961,0.1077984496124031,0.0331472868217054,0.043953488372093,0.0795193798449612,0.3474341085271318,0.070891472868217,0.3208733850129199,314.8759689922481,61.75968992248062,129.0,108.0
all,2024-06-10,0.2578917525773195,0.1497113402061855,0.1956701030927835,0.1329845360824742,0.0903247422680412,0.1801082474226804,0.1700567010309278,0.6103556701030928,0.6843144329896907,0.1476701030927834,0.3607371134020619,0.0816237113402061,0.1393092783505154,0.1486237113402062,0.0279948453608247,0.2682319587628866,0.1969381443298969,0.1686030927835051,0.4095309278350514,0.2686494845360825,0.4073247422680412,0.2723505154639175,0.411201030927835,0.2526494845360825,0.1277474226804123,0.0363298969072165,0.0579484536082474,0.0806237113402061,0.3486340206185567,0.0488479381443298,0.28896735395189,301.5360824742268,59.96907216494845,194.0,140.0
all,2024-06-17,0.2966333333333333,0.1531583333333333,0.196675,0.1438166666666666,0.1125333333333333,0.2297,0.1949916666666666,0.627875,0.6860583333333333,0.161075,0.3999166666666667,0.102775,0.1693666666666666,0.158,0.0240333333333333,0.3145833333333333,0.21415,0.220125,0.3895333333333333,0.298625,0.524425,0.3593,0.4399833333333333,0.2773666666666666,0.130125,0.0297833333333333,0.0571666666666666,0.0793333333333333,0.3675,0.0264541666666666,0.2805888888888889,363.2916666666667,70.78333333333333,120.0,104.0
all,2024-06-24,0.284,0.1349090909090909,0.1944195804195804,0.1445734265734265,0.1235734265734265,0.2223216783216783,0.2135034965034965,0.6402167832167831,0.6877412587412587,0.1425174825174825,0.41806993006993,0.104006993006993,0.1787062937062937,0.1721888111888111,0.0532727272727272,0.3121818181818182,0.2424475524475524,0.2121398601398601,0.4218881118881118,0.2869160839160839,0.4753706293706294,0.3113986013986014,0.4326923076923077,0.2867972027972028,0.1218951048951048,0.058,0.0871048951048951,0.0951678321678321,0.3694615384615384,0.016527972027972,0.2651468531468531,343.27972027972027,66.88111888111888,143.0,119.0
all,2024-07-01,0.328443396226415,0.1953018867924528,0.2758113207547169,0.1950849056603773,0.1206037735849056,0.2519905660377358,0.2210094339622641,0.6394056603773585,0.7006415094339623,0.1912075471698113,0.4428018867924528,0.1153207547169811,0.1873301886792453,0.2321132075471698,0.0503962264150943,0.3313962264150944,0.2284811320754717,0.2381792452830188,0.3838396226415094,0.2813679245283018,0.5037830188679245,0.3311698113207547,0.4495377358490565,0.2872169811320755,0.1289433962264151,0.0710188679245283,0.1010377358490565,0.1171509433962264,0.3947830188679245,0.0623632075471698,0.3143616352201258,411.8679245283019,81.50943396226415,106.0,92.0
all,2024-07-08,0.2970947368421052,0.2163684210526315,0.2731368421052632,0.1748631578947368,0.1079578947368421,0.2708315789473684,0.2224526315789473,0.6860631578947368,0.6712105263157896,0.1773473684210526,0.4590526315789472,0.1016842105263158,0.1746736842105263,0.2225263157894736,0.0531894736842105,0.3483894736842105,0.2408526315789473,0.2553473684210526,0.4424947368421053,0.3263999999999999,0.5910631578947368,0.4151578947368421,0.4789263157894736,0.3066842105263158,0.1248105263157894,0.0622842105263157,0.0617052631578947,0.1009157894736842,0.4017578947368421,0.0509710526315789,0.3058561403508772,480.778947368421,92.61052631578949,95.0,81.0
all,2024-07-15,0.2962416666666667,0.190875,0.2201,0.1619583333333333,0.0908083333333333,0.2051833333333333,0.19585,0.6194500000000001,0.6884583333333334,0.1775833333333333,0.3964583333333333,0.1044333333333333,0.125375,0.1685833333333333,0.0361749999999999,0.302625,0.1903333333333333,0.2028166666666666,0.3791666666666666,0.2646333333333333,0.476475,0.3424,0.4317833333333333,0.2517916666666666,0.1269166666666666,0.0430833333333333,0.1121833333333333,0.0884083333333333,0.357325,0.0692979166666666,0.3107916666666667,392.1333333333333,77.33333333333333,120.0,103.0
all,2024-07-22,0.2849252336448598,0.13603738317757,0.2087570093457944,0.1292803738317756,0.105607476635514,0.2174579439252336,0.211803738317757,0.6291869158878504,0.6519065420560748,0.1408130841121495,0.4010280373831776,0.0818878504672897,0.1808878504672897,0.152214953271028,0.0305794392523364,0.317392523364486,0.2082056074766355,0.2369813084112149,0.3758224299065421,0.3368224299065421,0.506392523364486,0.3125794392523364,0.4491962616822429,0.2591962616822429,0.1045046728971962,0.0405887850467289,0.065018691588785,0.0819345794392523,0.3595233644859813,0.0282172897196261,0.2762554517133956,374.06542056074767,74.42990654205607,107.0,91.0
all,2024-07-29,0.2548828828828829,0.1645315315315315,0.223045045045045,0.1367117117117116,0.1102882882882882,0.2333603603603603,0.1899279279279279,0.6611981981981983,0.6469189189189188,0.1354504504504504,0.4024054054054054,0.0716216216216216,0.1299549549549549,0.1706666666666667,0.0383153153153153,0.3201441441441441,0.1998738738738738,0.225036036036036,0.3815315315315315,0.2685675675675675,0.5496396396396396,0.418063063063063,0.4551081081081081,0.2756396396396396,0.1307387387387387,0.0434594594594594,0.0667927927927928,0.0848738738738738,0.3581801801801802,0.0229684684684684,0.2646606606606606,353.4684684684685,70.63063063063063,111.0,90.0
all,2024-08-05,0.2716407185628742,0.1643892215568862,0.2277425149700599,0.1550479041916168,0.0995389221556886,0.2104311377245508,0.1822275449101796,0.6033053892215567,0.6696227544910179,0.1451736526946107,0.4235748502994012,0.0979281437125748,0.1919161676646706,0.1689281437125748,0.0327784431137724,0.3009221556886228,0.189814371257485,0.2280898203592815,0.3524850299401197,0.2762095808383233,0.4806347305389222,0.2971676646706586,0.3707904191616766,0.3052994011976048,0.1158622754491018,0.0476107784431137,0.091754491017964,0.0869820359281437,0.363688622754491,0.0497200598802395,0.290129740518962,264.7065868263473,53.16766467065868,167.0,125.0
all,2024-08-12,0.3026026785714286,0.1659062499999999,0.2394910714285713,0.1670357142857142,0.1431919642857142,0.2621607142857142,0.2314330357142857,0.6576473214285715,0.6903526785714286,0.1878794642857142,0.4536651785714284,0.1130357142857142,0.1574508928571429,0.2202589285714285,0.0601830357142857,0.3276473214285714,0.2311830357142857,0.25153125,0.4058214285714286,0.3271428571428571,0.5221116071428572,0.3307678571428571,0.4473080357142857,0.295875,0.159875,0.1029107142857142,0.0943571428571428,0.1014151785714285,0.3909776785714285,0.0160825892857142,0.2676235119047619,320.60267857142856,63.0625,224.0,179.0
all,2024-08-19,0.254,0.1803021582733813,0.2135827338129496,0.1408489208633093,0.1192158273381294,0.2214604316546762,0.1989712230215827,0.627251798561151,0.6521079136690646,0.1507266187050359,0.4383669064748201,0.0910215827338129,0.1447266187050359,0.181863309352518,0.0444748201438848,0.3061870503597122,0.2064748201438848,0.2368201438848921,0.4122302158273381,0.2988129496402877,0.5033093525179856,0.3258561151079136,0.4052230215827337,0.2627338129496403,0.1296330935251798,0.0607266187050359,0.076410071942446,0.0883812949640287,0.3683093525179856,0.0268453237410071,0.2540143884892087,270.6043165467626,53.273381294964025,139.0,109.0
all,2024-08-26,0.31675,0.1639071428571428,0.2209499999999999,0.1798714285714286,0.0880857142857143,0.2174071428571428,0.1759642857142857,0.6367857142857144,0.7098357142857141,0.13405,0.4304214285714285,0.0824285714285714,0.1725642857142857,0.2025857142857142,0.04635,0.3043642857142857,0.1952428571428571,0.2434214285714285,0.3439142857142857,0.2427785714285714,0.5256142857142857,0.3195499999999999,0.4238928571428571,0.2681142857142857,0.1072357142857142,0.0705071428571428,0.0933357142857142,0.0896214285714285,0.36405,0.0676232142857143,0.3277595238095238,314.5785714285714,62.01428571428571,140.0,113.0
all,2024-09-02,0.3294777070063694,0.1779617834394904,0.2448917197452229,0.1563057324840764,0.1258407643312102,0.2593566878980892,0.2130318471337579,0.6593821656050955,0.6804394904458598,0.1678789808917197,0.4675350318471338,0.1030764331210191,0.2255605095541401,0.1932611464968153,0.0463694267515923,0.3149235668789809,0.2459808917197452,0.2040318471337579,0.4649490445859872,0.3009872611464968,0.5481082802547771,0.3329108280254778,0.4525222929936305,0.3348917197452229,0.115,0.0574904458598726,0.087968152866242,0.1035668789808917,0.3918152866242038,0.0345605095541401,0.2924288747346072,388.9171974522293,77.78980891719745,157.0,119.0
all,2024-09-09,0.3417999999999999,0.1754,0.2532296296296296,0.1692888888888889,0.1124444444444444,0.2698518518518518,0.2400592592592592,0.6519111111111111,0.6789851851851851,0.1827555555555555,0.4622888888888889,0.110837037037037,0.2153481481481481,0.2366814814814814,0.0421851851851851,0.3609703703703704,0.2340814814814814,0.2725037037037037,0.3929407407407408,0.2916222222222221,0.5633333333333334,0.4125407407407407,0.4553703703703704,0.3283481481481481,0.1319259259259259,0.0905777777777777,0.1088518518518518,0.1158888888888889,0.391837037037037,0.0437814814814814,0.3122271604938271,501.2296296296296,100.25925925925924,135.0,121.0
all,2024-09-16,0.2974160583941606,0.1918175182481751,0.2355985401459854,0.1677445255474452,0.1407080291970803,0.2851897810218978,0.2452627737226277,0.6708394160583941,0.6694890510948905,0.1776861313868613,0.4597299270072993,0.1255182481751825,0.2017080291970803,0.2403941605839415,0.0416496350364963,0.3302773722627737,0.2394598540145985,0.255043795620438,0.4118905109489051,0.3335255474452555,0.5619124087591241,0.4173430656934306,0.4845328467153286,0.3132262773722628,0.1396861313868613,0.0848029197080291,0.1024452554744525,0.1210364963503649,0.4043357664233576,0.0101952554744525,0.2601265206812652,457.88321167883214,91.05109489051095,137.0,120.0
all,2024-09-23,0.3674705882352941,0.2332857142857143,0.2906218487394958,0.1891764705882352,0.1110504201680672,0.2714957983193277,0.2240420168067227,0.6379915966386556,0.7216722689075631,0.1862521008403361,0.4454453781512604,0.1187226890756302,0.1741008403361344,0.2299159663865546,0.0629327731092437,0.3435378151260504,0.2293529411764706,0.2602436974789916,0.4042857142857142,0.2675210084033613,0.5856218487394957,0.389453781512605,0.4386638655462184,0.3087731092436975,0.1303277310924369,0.064344537815126,0.1121428571428571,0.1161596638655462,0.4025546218487394,0.0788655462184873,0.3488711484593837,493.016806722689,96.56302521008404,119.0,95.0
all,2024-09-30,0.3485275590551182,0.2267952755905512,0.2825905511811024,0.1978346456692913,0.1238661417322834,0.3060551181102362,0.2688031496062992,0.7070866141732284,0.7223385826771653,0.2224881889763779,0.4789055118110237,0.1605984251968503,0.1892283464566929,0.2526220472440945,0.0629212598425196,0.3676692913385826,0.2438188976377952,0.2918188976377953,0.4121496062992126,0.3225354330708662,0.6131259842519686,0.438023622047244,0.4899685039370078,0.3239370078740157,0.1601023622047244,0.0789921259842519,0.0937322834645669,0.1372992125984252,0.4293385826771654,0.0489763779527558,0.3272860892388451,549.2834645669292,108.11811023622047,127.0,104.0
